ID,title,genre,stock,price,author_ID
650e8400-e29b-41d4-a716-446655440001,1984,Dystopian,15,9.99,550e8400-e29b-41d4-a716-446655440001
650e8400-e29b-41d4-a716-446655440002,Animal Farm,Political Satire,10,7.99,550e8400-e29b-41d4-a716-446655440001
650e8400-e29b-41d4-a716-446655440003,Pride and Prejudice,Romance,20,8.99,550e8400-e29b-41d4-a716-446655440002
650e8400-e29b-41d4-a716-446655440004,Sense and Sensibility,Romance,18,8.49,550e8400-e29b-41d4-a716-446655440002
650e8400-e29b-41d4-a716-446655440005,The Fellowship of the Ring,Fantasy,25,12.99,550e8400-e29b-41d4-a716-446655440003
650e8400-e29b-41d4-a716-446655440006,The Two Towers,Fantasy,22,12.99,550e8400-e29b-41d4-a716-446655440003
650e8400-e29b-41d4-a716-446655440007,The Return of the King,Fantasy,20,12.99,550e8400-e29b-41d4-a716-446655440003
650e8400-e29b-41d4-a716-446655440008,Murder on the Orient Express,Mystery,12,6.99,550e8400-e29b-41d4-a716-446655440004
650e8400-e29b-41d4-a716-446655440009,And Then There Were None,Mystery,14,7.49,550e8400-e29b-41d4-a716-446655440004
650e8400-e29b-41d4-a716-446655440019,Game of Thrones Vol2,14,7.49,550e8400-e29b-41d4-a716-446655440005
